node,in_degree,out_degree,pagerank
1396,6.0,1.0,0.0008154240515021071
4822,4.0,1.0,0.000814640758265332
3153,18.0,18.0,0.0008133568770765734
5186,3.0,1.0,0.0008130825236195323
6125,2.0,1.0,0.0008117098486166595
6429,8.0,4.0,0.0008106334972431058
1793,6.0,2.0,0.0008086174324683968
4429,7.0,8.0,0.0008083573351752018
5987,2.0,1.0,0.0008015689793951025
2989,12.0,1.0,0.0008010211095639586
6124,2.0,1.0,0.0007970919357470955
385,7.0,3.0,0.0007948540986463197
3368,4.0,6.0,0.0007944938650995927
4862,3.0,1.0,0.0007944368486126513
1643,8.0,3.0,0.0007915771903870535
3718,12.0,7.0,0.0007911398667030607
5754,2.0,1.0,0.0007909284897697403
6012,7.0,4.0,0.0007906063624956947
5383,8.0,1.0,0.0007883736880070642
2733,9.0,6.0,0.000788289048624689
1531,6.0,1.0,0.0007880297495926317
5755,3.0,1.0,0.0007853994753186902
1659,3.0,2.0,0.0007807532860436086
1536,3.0,2.0,0.0007775007139585958
4864,4.0,1.0,0.0007702936117722554
4945,14.0,5.0,0.000767787287842923
3159,1.0,1.0,0.0007677171229234467
1010,8.0,3.0,0.0007676372656460007
5119,3.0,1.0,0.0007632886320321888
5083,1.0,1.0,0.0007615043147016512
6344,28.0,12.0,0.0007613372164446732
1455,3.0,3.0,0.0007607763645290806
1011,18.0,9.0,0.0007596477481856549
4718,14.0,6.0,0.0007583064581421332
5763,9.0,5.0,0.0007563969140296405
1388,3.0,2.0,0.0007558266623144935
6667,5.0,7.0,0.0007548900359057676
6533,6.0,3.0,0.0007518155151795426
6672,5.0,2.0,0.0007503134065526771
5373,3.0,1.0,0.0007492084867554112
31,6.0,4.0,0.0007465860951834092
3077,6.0,2.0,0.00074652612029631
6271,12.0,5.0,0.0007425801903961331
6081,5.0,6.0,0.0007394329984138251
2895,19.0,6.0,0.0007385765128360613
1971,4.0,2.0,0.0007356981381331465
4386,12.0,26.0,0.0007356774627159952
1276,7.0,3.0,0.000734418234512253
5127,6.0,2.0,0.0007337045509203211
6515,5.0,2.0,0.0007308667240692427
3039,1.0,3.0,0.0007300087774636649
1792,2.0,1.0,0.0007288791672445702
5702,23.0,8.0,0.0007284693039110116
106,3.0,3.0,0.0007273988774228958
3257,9.0,8.0,0.0007271108879794476
3210,8.0,5.0,0.0007223450586366359
5368,3.0,1.0,0.0007181229047788617
4292,2.0,2.0,0.0007133360461795698
1497,13.0,16.0,0.0007130784330355409
2091,5.0,2.0,0.0007129880731828813
331,4.0,4.0,0.0007129846984955729
1487,3.0,2.0,0.0007123043201230888
3796,6.0,1.0,0.0007103519253079874
1323,6.0,1.0,0.000708328023354399
2563,4.0,1.0,0.0007081713031213832
6389,4.0,3.0,0.0007041945385905008
5690,4.0,1.0,0.0007019961342435319
5580,6.0,2.0,0.0006994062803936036
381,3.0,1.0,0.0006986241218805869
5687,2.0,1.0,0.000697940605234141
1627,3.0,4.0,0.0006978029324657931
1597,12.0,13.0,0.0006977258691701474
4042,6.0,2.0,0.000697417561947127
6077,3.0,4.0,0.0006960238690487779
2607,5.0,3.0,0.0006955533648372407
572,15.0,7.0,0.0006954139383952537
4582,6.0,2.0,0.000695367785013559
4243,5.0,2.0,0.0006950881080893328
3259,17.0,2.0,0.0006946477025619191
1926,4.0,3.0,0.0006937669092562782
3698,4.0,2.0,0.0006936258277688791
2854,5.0,2.0,0.0006928372156858665
2863,2.0,2.0,0.0006912786967110293
1136,4.0,1.0,0.0006901673887688363
4197,5.0,3.0,0.0006900604970212511
5216,9.0,15.0,0.0006897603514296179
2094,4.0,2.0,0.0006884497594041997
6430,7.0,5.0,0.0006849133177283975
5114,1.0,2.0,0.0006846048736526715
3063,4.0,2.0,0.0006844390150145071
2672,2.0,1.0,0.0006834653370126768
2357,5.0,6.0,0.0006831534065932918
4841,5.0,3.0,0.0006810868806328989
5063,6.0,6.0,0.0006807068353045048
96,3.0,1.0,0.0006757324075869323
5359,2.0,1.0,0.0006751093406532938
2005,3.0,5.0,0.0006745494890408175
2713,2.0,2.0,0.0006726297228247508
4341,5.0,1.0,0.0006718439391964351
3875,5.0,4.0,0.0006683344657469133
3700,5.0,1.0,0.0006664802076634487
1726,2.0,3.0,0.00065778010100946
969,4.0,4.0,0.0006575003987819779
4041,10.0,9.0,0.0006515269631401649
2564,1.0,1.0,0.0006511969075646524
2310,16.0,6.0,0.0006502744894965536
3797,1.0,3.0,0.0006484794801314268
1138,2.0,1.0,0.0006466747390195761
6393,5.0,3.0,0.0006422097944066906
2847,2.0,2.0,0.0006406527390827254
4117,4.0,4.0,0.0006402550038128729
4045,2.0,2.0,0.000639117326737362
5967,4.0,1.0,0.0006346325287462359
5869,10.0,1.0,0.0006345323383978745
2210,4.0,2.0,0.0006319785330080602
2370,9.0,28.0,0.0006297719374620633
2675,1.0,4.0,0.000629460182143454
4511,15.0,32.0,0.0006290908226827119
5947,6.0,3.0,0.0006271290901804174
4411,3.0,3.0,0.0006264939693575777
342,2.0,1.0,0.0006251489978440969
2860,4.0,1.0,0.000624485942283778
5978,2.0,1.0,0.0006233739045470679
1973,3.0,2.0,0.0006218601956139157
4340,1.0,2.0,0.0006213505284268798
3056,2.0,2.0,0.0006198981101086997
5974,3.0,1.0,0.0006197299333255195
1886,9.0,6.0,0.0006173987318760399
3865,3.0,1.0,0.000613280791879371
4753,4.0,7.0,0.0006110934146374727
3068,9.0,8.0,0.0006105630237365337
4614,10.0,10.0,0.0006097534594406008
6559,6.0,5.0,0.0006095073209584042
